sgrna	Gene	control_count	treatment_count	control_mean	treat_mean	LFC	control_var	adj_var	score	p.low	p.high	p.twosided	FDR	high_in_treatment
HGLibB_17328_r1	FGD4	53588	48559	53588	48559	-0.14218	1.2648e+07	1.1041e+07	1.5136	0.065062	0.93494	0.13012	0.28736	False
HGLibA_14774_r0	EIF3D	740.33	951.03	740.33	951.03	0.36089	22197	19454	1.5106	0.93456	0.065441	0.13088	0.28874	True
HGLibB_57403_r0	NonTargetingControlGuideForHuman_0375	1.4486e+05	1.5537e+05	1.4486e+05	1.5537e+05	0.10105	5.5227e+07	4.844e+07	1.51	0.93448	0.065516	0.13103	0.28879	True
HGLibB_57154_r2	NonTargetingControlGuideForHuman_0126	1.9383e+05	2.0687e+05	1.9383e+05	2.0687e+05	0.0939	8.4964e+07	7.4704e+07	1.5082	0.93425	0.065751	0.1315	0.28939	True
HGLibA_05189_r0	C11orf82	9558.9	8165.9	9558.9	8165.9	-0.22721	9.7027e+05	8.5338e+05	1.508	0.065782	0.93422	0.13156	0.28939	False
HGLibA_36792_r1	PKD1L1	64481	70227	64481	70227	0.12315	1.6509e+07	1.4537e+07	1.5071	0.93411	0.065893	0.13179	0.28959	True
HGLibA_63344_r0	hsa-mir-6792	20651	18198	20651	18198	-0.18244	3.0091e+06	2.6773e+06	1.4993	0.066898	0.9331	0.1338	0.29372	False
HGLibB_18940_r0	GFRA1	43753	48034	43753	48034	0.13468	9.1649e+06	8.168e+06	1.498	0.93294	0.067062	0.13412	0.29398	True
HGLibA_06959_r2	CACYBP	24124	26875	24124	26875	0.15577	3.783e+06	3.3725e+06	1.4978	0.93291	0.06709	0.13418	0.29398	True
HGLibB_57031_r0	NonTargetingControlGuideForHuman_0003	1.0142e+05	1.0939e+05	1.0142e+05	1.0939e+05	0.1091	3.1736e+07	2.8507e+07	1.4922	0.93217	0.067828	0.13566	0.29682	True
HGLibA_38101_r0	PPP1R3B	1.1168e+05	1.2024e+05	1.1168e+05	1.2024e+05	0.10651	3.6611e+07	3.29e+07	1.4918	0.93213	0.067871	0.13574	0.29682	True
HGLibB_17393_r1	FGF7	51879	56708	51879	56708	0.12841	1.1662e+07	1.0522e+07	1.4889	0.93174	0.06826	0.13652	0.29823	True
HGLibA_19588_r0	GNS	40483	36469	40483	36469	-0.15065	8.0569e+06	7.2775e+06	1.488	0.068374	0.93163	0.13675	0.29843	False
HGLibB_05187_r0	C11orf82	55648	60730	55648	60730	0.12607	1.2913e+07	1.1678e+07	1.4871	0.93151	0.068492	0.13698	0.29866	True
HGLibB_51197_r2	TRAF5	57821	63047	57821	63047	0.12482	1.3654e+07	1.2362e+07	1.4863	0.9314	0.068604	0.13721	0.29885	True
HGLibB_53699_r0	VPS33A	21238	18757	21238	18757	-0.17925	3.0791e+06	2.7911e+06	1.4854	0.06872	0.93128	0.13744	0.29906	False
HGLibA_48888_r2	TDO2	1.073e+05	1.1556e+05	1.073e+05	1.1556e+05	0.10691	3.4062e+07	3.1e+07	1.4824	0.93089	0.069115	0.13823	0.30049	True
HGLibB_19563_r2	GNS	33569	30092	33569	30092	-0.15777	6.0467e+06	5.5097e+06	1.4815	0.069233	0.93077	0.13847	0.30058	False
HGLibA_28632_r0	MCMBP	44702	40400	44702	40400	-0.14596	9.2511e+06	8.4327e+06	1.4812	0.06927	0.93073	0.13854	0.30058	False
HGLibA_11402_r2	CSNK2A1	43758	47988	43758	47988	0.13312	8.9463e+06	8.1695e+06	1.4799	0.93055	0.069447	0.13889	0.30105	True
HGLibA_24675_r2	KIAA1009	14442	16294	14442	16294	0.17413	1.7164e+06	1.5742e+06	1.4767	0.93012	0.069881	0.13976	0.30264	True
HGLibA_12150_r0	CYP39A1	22486	25053	22486	25053	0.15596	3.295e+06	3.038e+06	1.4728	0.9296	0.0704	0.1408	0.30404	True
HGLibA_04785_r0	BRD8	13091	11373	13091	11373	-0.20293	1.4755e+06	1.3607e+06	1.4726	0.070423	0.92958	0.14085	0.30404	False
HGLibA_48888_r0	TDO2	1.2811e+05	1.1876e+05	1.2811e+05	1.1876e+05	-0.10932	4.3701e+07	4.0348e+07	1.4718	0.070537	0.92946	0.14107	0.30404	False
HGLibA_11403_r1	CSNK2A1	28243	31280	28243	31280	0.14736	4.6131e+06	4.2623e+06	1.4713	0.92939	0.070612	0.14122	0.30404	True
HGLibB_54544_r0	XRRA1	82366	75638	82366	75638	-0.12293	2.2631e+07	2.0919e+07	1.4709	0.070654	0.92935	0.14131	0.30404	False
HGLibA_19075_r1	GIMAP2	43947	48165	43947	48165	0.1322	8.8937e+06	8.2221e+06	1.4708	0.92933	0.070668	0.14134	0.30404	True
HGLibB_47835_r2	SVOP	20696	23105	20696	23105	0.15885	2.9019e+06	2.6859e+06	1.47	0.92922	0.070783	0.14157	0.30404	True
HGLibB_57130_r1	NonTargetingControlGuideForHuman_0102	89268	96405	89268	96405	0.11096	2.5467e+07	2.3579e+07	1.4698	0.92919	0.070813	0.14163	0.30404	True
HGLibA_29068_r2	MFN1	39173	35304	39173	35304	-0.15003	7.4849e+06	6.9303e+06	1.4697	0.07082	0.92918	0.14164	0.30404	False
HGLibB_57871_r1	NonTargetingControlGuideForHuman_0843	1.4028e+05	1.303e+05	1.4028e+05	1.303e+05	-0.10643	4.976e+07	4.6178e+07	1.468	0.071047	0.92895	0.14209	0.30472	False
HGLibB_19539_r2	GNPDA1	52678	57489	52678	57489	0.12606	1.1569e+07	1.0764e+07	1.4662	0.9287	0.071297	0.14259	0.30538	True
HGLibB_28701_r0	MED12	21256	23706	21256	23706	0.1574	3.0022e+06	2.7945e+06	1.4658	0.92865	0.07135	0.1427	0.30538	True
HGLibA_52081_r2	TTC23L	40937	36951	40937	36951	-0.14779	7.9446e+06	7.3992e+06	1.4654	0.071405	0.92859	0.14281	0.30538	False
HGLibA_04797_r1	BRF1	12235	13857	12235	13857	0.17958	1.3153e+06	1.2308e+06	1.462	0.92813	0.071874	0.14375	0.30676	True
HGLibA_61826_r0	hsa-mir-544a	6294.3	5303.5	6294.3	5303.5	-0.24704	4.9075e+05	4.5927e+05	1.4619	0.071887	0.92811	0.14377	0.30676	False
HGLibA_52101_r2	TTC3	56678	61741	56678	61741	0.12344	1.2817e+07	1.2001e+07	1.4615	0.92806	0.071936	0.14387	0.30676	True
HGLibB_57744_r2	NonTargetingControlGuideForHuman_0716	51217	55905	51217	55905	0.12636	1.099e+07	1.0323e+07	1.4592	0.92775	0.072252	0.1445	0.30781	True
HGLibB_29028_r0	MFN1	16860	14807	16860	14807	-0.18731	2.1072e+06	1.981e+06	1.4586	0.072342	0.92766	0.14468	0.3079	False
HGLibA_33951_r0	OR4C16	77450	83820	77450	83820	0.11403	2.0291e+07	1.909e+07	1.458	0.92758	0.072418	0.14484	0.30793	True
HGLibB_57585_r2	NonTargetingControlGuideForHuman_0557	1.1831e+05	1.2702e+05	1.1831e+05	1.2702e+05	0.10253	3.7964e+07	3.5843e+07	1.4554	0.92723	0.072773	0.14555	0.30915	True
HGLibA_07167_r2	CAPN3	97577	1.0511e+05	97577	1.0511e+05	0.10731	2.8389e+07	2.6915e+07	1.4524	0.92681	0.073192	0.14638	0.31013	True
HGLibB_26552_r0	LINGO2	1.1057e+05	1.023e+05	1.1057e+05	1.023e+05	-0.11214	3.4189e+07	3.2413e+07	1.4524	0.073192	0.92681	0.14638	0.31013	False
HGLibB_47409_r2	STK17B	30402	33568	30402	33568	0.14294	5.0133e+06	4.7553e+06	1.4521	0.92676	0.07324	0.14648	0.31013	True
HGLibB_49137_r1	TFRC	30143	33289	30143	33289	0.14321	4.9478e+06	4.6952e+06	1.4518	0.92672	0.073284	0.14657	0.31013	True
HGLibB_31556_r0	NEDD1	1449.4	1117.6	1449.4	1117.6	-0.37476	55050	52332	1.4505	0.073464	0.92654	0.14693	0.31049	False
HGLibA_58398_r0	hsa-mir-296	92399	99623	92399	99623	0.10861	2.6096e+07	2.4819e+07	1.4502	0.92649	0.073507	0.14701	0.31049	True
HGLibA_51247_r0	TRAF3	33336	29953	33336	29953	-0.1544	5.724e+06	5.4529e+06	1.4489	0.073678	0.92632	0.14736	0.31091	False
HGLibA_61823_r1	hsa-mir-544a	43483	39365	43483	39365	-0.14352	8.4775e+06	8.0933e+06	1.4474	0.073893	0.92611	0.14779	0.31153	False
HGLibA_34397_r1	OR6C65	80765	74247	80765	74247	-0.12139	2.1239e+07	2.0318e+07	1.4459	0.074098	0.9259	0.1482	0.31208	False
HGLibB_27016_r1	LPAR2	78189	84550	78189	84550	0.11283	2.0227e+07	1.9362e+07	1.4455	0.92583	0.074165	0.14833	0.31208	True
HGLibA_40057_r0	RAD17	22155	24645	22155	24645	0.15362	3.0984e+06	2.9719e+06	1.444	0.92563	0.074368	0.14874	0.31264	True
HGLibB_21848_r2	HOOK1	13408	15118	13408	15118	0.17307	1.4605e+06	1.41e+06	1.4393	0.92497	0.075029	0.15006	0.31512	True
HGLibA_44176_r1	SIM2	1.0462e+05	96764	1.0462e+05	96764	-0.11259	3.0846e+07	2.9853e+07	1.4375	0.075284	0.92472	0.15057	0.31589	False
HGLibA_02317_r1	AP2S1	28718	31718	28718	31718	0.14335	4.5007e+06	4.3692e+06	1.4353	0.9244	0.075596	0.15119	0.31671	True
HGLibA_33830_r2	OR2L8	73475	79505	73475	79505	0.11378	1.8179e+07	1.7652e+07	1.4352	0.92438	0.075622	0.15124	0.31671	True
HGLibA_13732_r0	DOCK1	23159	20603	23159	20603	-0.16869	3.2656e+06	3.174e+06	1.4345	0.07572	0.92428	0.15144	0.31683	False
HGLibB_43496_r0	SERPINB3	65985	60433	65985	60433	-0.12679	1.5411e+07	1.5044e+07	1.4314	0.076165	0.92384	0.15233	0.31839	False
HGLibB_08208_r0	CCT8	20955	18590	20955	18590	-0.17278	2.7974e+06	2.7361e+06	1.43	0.076363	0.92364	0.15273	0.31892	False
HGLibA_30458_r2	MTPAP	96014	1.0334e+05	96014	1.0334e+05	0.10607	2.6829e+07	2.6276e+07	1.429	0.9235	0.076502	0.153	0.3192	True
HGLibA_02846_r1	ARHGEF3	43176	47215	43176	47215	0.12904	8.1604e+06	8.0084e+06	1.4276	0.92329	0.076708	0.15342	0.31935	True
HGLibB_40691_r2	RDH14	1.2036e+05	1.2901e+05	1.2036e+05	1.2901e+05	0.1002	3.7464e+07	3.6771e+07	1.4275	0.92328	0.076719	0.15344	0.31935	True
HGLibA_29054_r2	MFAP5	19809	22073	19809	22073	0.15613	2.5633e+06	2.5167e+06	1.4272	0.92325	0.076754	0.15351	0.31935	True
HGLibB_53739_r0	VPS52	1.6509e+05	1.7604e+05	1.6509e+05	1.7604e+05	0.092582	5.9864e+07	5.8839e+07	1.4265	0.92313	0.076866	0.15373	0.31952	True
HGLibA_64101_r0	hsa-mir-8066	8384.5	7189.4	8384.5	7189.4	-0.22183	7.1417e+05	7.026e+05	1.4258	0.076961	0.92304	0.15392	0.31962	False
HGLibB_48241_r0	TANGO6	17082	15058	17082	15058	-0.18196	2.0488e+06	2.0199e+06	1.4243	0.077183	0.92282	0.15437	0.32024	False
HGLibB_28450_r2	MBD5	23064	25591	23064	25591	0.14999	3.1929e+06	3.1547e+06	1.4228	0.9226	0.077404	0.15481	0.32075	True
HGLibA_33950_r2	OR4C16	35274	38738	35274	38738	0.13514	5.9993e+06	5.9305e+06	1.4224	0.92254	0.077456	0.15491	0.32075	True
HGLibA_27615_r0	LTN1	24681	22025	24681	22025	-0.16421	3.5254e+06	3.4887e+06	1.4216	0.077567	0.92243	0.15513	0.32075	False
HGLibB_24642_r1	KIAA1009	76685	70520	76685	70520	-0.12091	1.9003e+07	1.881e+07	1.4214	0.077594	0.92241	0.15519	0.32075	False
HGLibB_57560_r2	NonTargetingControlGuideForHuman_0532	46288	50519	46288	50519	0.12621	8.9538e+06	8.8812e+06	1.42	0.92219	0.077806	0.15561	0.32128	True
HGLibB_57071_r2	NonTargetingControlGuideForHuman_0043	1.6702e+05	1.7801e+05	1.6702e+05	1.7801e+05	0.091883	6.032e+07	5.9866e+07	1.4196	0.92213	0.077866	0.15573	0.32128	True
HGLibA_40057_r2	RAD17	43224	47241	43224	47241	0.1282	8.0673e+06	8.0217e+06	1.4182	0.92194	0.078062	0.15612	0.32163	True
HGLibB_57318_r1	NonTargetingControlGuideForHuman_0290	1.5151e+05	1.6171e+05	1.5151e+05	1.6171e+05	0.094033	5.2061e+07	5.1783e+07	1.418	0.9219	0.078095	0.15619	0.32163	True
HGLibA_48880_r2	TDG	49082	53493	49082	53493	0.12414	9.7268e+06	9.6898e+06	1.4169	0.92175	0.078254	0.15651	0.32198	True
HGLibB_48356_r1	TAS2R46	1.0263e+05	1.1025e+05	1.0263e+05	1.1025e+05	0.10334	2.9039e+07	2.9014e+07	1.4148	0.92144	0.078561	0.15712	0.32295	True
HGLibA_43551_r2	SERPINB3	45558	49720	45558	49720	0.12613	8.6623e+06	8.6739e+06	1.4133	0.92121	0.078789	0.15758	0.32359	True
HGLibB_19620_r0	GOLGB1	31220	28078	31220	28078	-0.15298	4.9334e+06	4.9465e+06	1.4123	0.078925	0.92107	0.15785	0.32385	False
HGLibB_40867_r1	RFESD	89931	83049	89931	83049	-0.11486	2.3681e+07	2.3839e+07	1.4095	0.079341	0.92066	0.15868	0.32526	False
HGLibA_60879_r2	hsa-mir-4692	58789	63801	58789	63801	0.11802	1.2558e+07	1.2671e+07	1.4079	0.92042	0.079584	0.15917	0.32548	True
HGLibA_60878_r1	hsa-mir-4692	81313	87690	81313	87690	0.10893	2.0336e+07	2.0523e+07	1.4078	0.9204	0.079602	0.1592	0.32548	True
HGLibA_29053_r0	MFAP5	1.2629e+05	1.1744e+05	1.2629e+05	1.1744e+05	-0.10477	3.9129e+07	3.9498e+07	1.4076	0.079626	0.92037	0.15925	0.32548	False
HGLibB_42652_r2	SAMHD1	22328	24768	22328	24768	0.14961	2.9765e+06	3.0064e+06	1.4072	0.92031	0.079689	0.15938	0.32548	True
HGLibA_40756_r0	RDM1	76360	82440	76360	82440	0.11052	1.8481e+07	1.8692e+07	1.4062	0.92017	0.079832	0.15966	0.32577	True
HGLibA_47891_r0	SVOP	12987	11358	12987	11358	-0.1934	1.3276e+06	1.3448e+06	1.4052	0.079988	0.92001	0.15998	0.32581	False
HGLibB_29028_r1	MFN1	37650	34059	37650	34059	-0.14464	6.4502e+06	6.5338e+06	1.4051	0.079991	0.92001	0.15998	0.32581	False
HGLibB_27581_r0	LUC7L	43938	39911	43938	39911	-0.13868	8.1087e+06	8.2194e+06	1.4047	0.080063	0.91994	0.16013	0.32581	False
HGLibA_00187_r0	ABCC9	97575	1.0483e+05	97575	1.0483e+05	0.10349	2.633e+07	2.6914e+07	1.3988	0.91906	0.080941	0.16188	0.32909	True
HGLibB_49814_r1	TMEM110	73471	67599	73471	67599	-0.12017	1.7239e+07	1.765e+07	1.3976	0.081112	0.91889	0.16222	0.32926	False
HGLibA_25289_r2	KLRC2	83870	90348	83870	90348	0.10734	2.0985e+07	2.149e+07	1.3975	0.91887	0.081131	0.16226	0.32926	True
HGLibA_20376_r2	GRPR	76270	82290	76270	82290	0.10959	1.8118e+07	1.8659e+07	1.3936	0.91828	0.081725	0.16345	0.33104	True
HGLibB_56616_r1	ZNF76	64748	59418	64748	59418	-0.12392	1.42e+07	1.4627e+07	1.3935	0.08174	0.91826	0.16348	0.33104	False
HGLibB_51001_r1	TP53I13	1.505e+05	1.4052e+05	1.505e+05	1.4052e+05	-0.098923	4.9735e+07	5.127e+07	1.3929	0.081828	0.91817	0.16366	0.33104	False
HGLibA_62850_r1	hsa-mir-6500	56956	52114	56956	52114	-0.12817	1.1722e+07	1.2088e+07	1.3926	0.081868	0.91813	0.16374	0.33104	False
HGLibB_30414_r1	MTPAP	9045.7	10279	9045.7	10279	0.18445	7.6117e+05	7.8631e+05	1.3914	0.91795	0.082048	0.1641	0.3312	True
HGLibA_33194_r2	OARD1	31464	34576	31464	34576	0.13609	4.8438e+06	5.0042e+06	1.3914	0.91794	0.082056	0.16411	0.3312	True
HGLibA_43619_r1	SESN1	1.6507e+05	1.5441e+05	1.6507e+05	1.5441e+05	-0.096283	5.6784e+07	5.8825e+07	1.3895	0.082346	0.91765	0.16469	0.33207	False
HGLibA_12150_r2	CYP39A1	57485	62347	57485	62347	0.11713	1.182e+07	1.2255e+07	1.3888	0.91756	0.082442	0.16488	0.33216	True
HGLibB_58026_r0	NonTargetingControlGuideForHuman_0998	28846	25938	28846	25938	-0.15332	4.2294e+06	4.3983e+06	1.3868	0.082754	0.91725	0.16551	0.33311	False
HGLibB_23552_r1	IRF3	35578	38975	35578	38975	0.13154	5.7685e+06	6.0067e+06	1.3859	0.91711	0.08289	0.16578	0.33336	True
HGLibA_08476_r0	CD9	63556	68777	63556	68777	0.1139	1.363e+07	1.4228e+07	1.3842	0.91684	0.083155	0.16631	0.3339	True
HGLibB_57256_r1	NonTargetingControlGuideForHuman_0228	1.3726e+05	1.28e+05	1.3726e+05	1.28e+05	-0.1007	4.2818e+07	4.4707e+07	1.384	0.083175	0.91682	0.16635	0.3339	False
HGLibB_57563_r0	NonTargetingControlGuideForHuman_0535	63128	57947	63128	57947	-0.12355	1.3422e+07	1.4086e+07	1.3805	0.083719	0.91628	0.16744	0.33578	False
HGLibB_28450_r1	MBD5	56923	52131	56923	52131	-0.12687	1.1481e+07	1.2078e+07	1.3789	0.08397	0.91603	0.16794	0.33623	False
HGLibA_43549_r2	SERPINB3	43744	47684	43744	47684	0.12442	7.7616e+06	8.1656e+06	1.3788	0.91602	0.083981	0.16796	0.33623	True
HGLibB_57212_r0	NonTargetingControlGuideForHuman_0184	1.2079e+05	1.2917e+05	1.2079e+05	1.2917e+05	0.096709	3.5068e+07	3.6969e+07	1.3774	0.9158	0.084199	0.1684	0.33679	True
HGLibB_57425_r1	NonTargetingControlGuideForHuman_0397	65011	70291	65011	70291	0.11265	1.3938e+07	1.4715e+07	1.3764	0.91564	0.084355	0.16871	0.33687	True
HGLibA_29227_r0	MICU3	21208	23505	21208	23505	0.14834	2.6378e+06	2.7852e+06	1.3763	0.91563	0.084368	0.16874	0.33687	True
HGLibB_57295_r2	NonTargetingControlGuideForHuman_0267	1.3696e+05	1.4614e+05	1.3696e+05	1.4614e+05	0.093575	4.2119e+07	4.4565e+07	1.3749	0.91541	0.084589	0.16918	0.33744	True
HGLibB_54642_r1	YPEL2	48492	52729	48492	52729	0.12087	8.9794e+06	9.5169e+06	1.3737	0.91523	0.084769	0.16954	0.33786	True
HGLibB_57899_r2	NonTargetingControlGuideForHuman_0871	3.2761e+05	3.4511e+05	3.2761e+05	3.4511e+05	0.075106	1.5325e+08	1.6309e+08	1.3709	0.91479	0.08521	0.17042	0.33887	True
HGLibB_57080_r1	NonTargetingControlGuideForHuman_0052	1.1243e+05	1.2033e+05	1.1243e+05	1.2033e+05	0.097966	3.1201e+07	3.3227e+07	1.3704	0.91472	0.085275	0.17055	0.33887	True
HGLibB_47005_r0	SRSF10	12104	10596	12104	10596	-0.19198	1.1374e+06	1.2113e+06	1.3704	0.085282	0.91472	0.17056	0.33887	False
HGLibB_27349_r1	LRRC55	45437	41409	45437	41409	-0.13389	8.109e+06	8.6396e+06	1.3701	0.085327	0.91467	0.17065	0.33887	False
HGLibB_16338_r0	FAM192A	12195	10681	12195	10681	-0.19126	1.1465e+06	1.2249e+06	1.3682	0.08562	0.91438	0.17124	0.33973	False
HGLibB_27573_r2	LTN1	29157	26266	29157	26266	-0.15065	4.1794e+06	4.4688e+06	1.3676	0.085711	0.91429	0.17142	0.33979	False
HGLibB_08968_r2	CECR1	23484	21025	23484	21025	-0.15955	3.0228e+06	3.2405e+06	1.3659	0.085987	0.91401	0.17197	0.34058	False
HGLibA_56327_r0	ZNF586	1.7262e+05	1.6181e+05	1.7262e+05	1.6181e+05	-0.093364	5.8511e+07	6.2875e+07	1.3642	0.086245	0.91375	0.17249	0.3413	False
HGLibA_62852_r2	hsa-mir-6500	71996	77625	71996	77625	0.10861	1.5846e+07	1.7126e+07	1.3603	0.91314	0.086864	0.17373	0.34344	True
HGLibB_17393_r0	FGF7	3142.7	3693	3142.7	3693	0.23272	1.5142e+05	1.642e+05	1.358	0.91278	0.087225	0.17445	0.34456	True
HGLibB_40676_r0	RD3L	52715	57172	52715	57172	0.11707	9.9285e+06	1.0775e+07	1.3575	0.91269	0.087306	0.17461	0.34458	True
HGLibB_09786_r2	CLASP2	62040	67052	62040	67052	0.11209	1.2562e+07	1.3726e+07	1.3529	0.91196	0.088044	0.17609	0.34719	True
HGLibB_57312_r0	NonTargetingControlGuideForHuman_0284	1.8567e+05	1.7437e+05	1.8567e+05	1.7437e+05	-0.090601	6.3861e+07	7.0072e+07	1.3501	0.088494	0.91151	0.17699	0.34813	False
HGLibB_54544_r2	XRRA1	91414	98084	91414	98084	0.1016	2.2245e+07	2.4426e+07	1.3496	0.91143	0.088574	0.17715	0.34813	True
HGLibB_49665_r1	TM9SF2	40404	44038	40404	44038	0.12426	6.6042e+06	7.2564e+06	1.3492	0.91136	0.088642	0.17728	0.34813	True
HGLibB_32219_r1	NOL12	1.4557e+05	1.5499e+05	1.4557e+05	1.5499e+05	0.09049	4.4397e+07	4.8794e+07	1.349	0.91133	0.088668	0.17734	0.34813	True
HGLibB_50460_r2	TMEM81	1.6103e+05	1.7118e+05	1.6103e+05	1.7118e+05	0.088247	5.1585e+07	5.6696e+07	1.349	0.91133	0.088674	0.17735	0.34813	True
HGLibB_29028_r2	MFN1	27587	24858	27587	24858	-0.15028	3.7238e+06	4.116e+06	1.3451	0.08929	0.91071	0.17858	0.35024	False
HGLibB_32535_r1	NR1H2	68989	74374	68989	74374	0.10843	1.45e+07	1.6074e+07	1.3432	0.9104	0.089603	0.17921	0.35115	True
HGLibB_55621_r0	ZNF26	32327	35389	32327	35389	0.13059	4.6899e+06	5.2094e+06	1.3419	0.91018	0.089822	0.17964	0.35171	True
HGLibA_58396_r2	hsa-mir-296	73586	67944	73586	67944	-0.11508	1.5914e+07	1.7691e+07	1.3413	0.089909	0.91009	0.17982	0.35174	False
HGLibA_02316_r1	AP2S1	69006	74369	69006	74369	0.10798	1.4382e+07	1.6079e+07	1.3375	0.90947	0.09053	0.18106	0.35366	True
HGLibB_57952_r1	NonTargetingControlGuideForHuman_0924	59644	64455	59644	64455	0.11193	1.1576e+07	1.2946e+07	1.3373	0.90944	0.090559	0.18112	0.35366	True
HGLibA_38952_r2	PRSS50	3.2122e+05	3.044e+05	3.2122e+05	3.044e+05	-0.077596	1.4147e+08	1.5838e+08	1.3365	0.090686	0.90931	0.18137	0.35384	False
HGLibA_26588_r0	LINGO2	3.4641e+05	3.6417e+05	3.4641e+05	3.6417e+05	0.072168	1.5787e+08	1.7721e+08	1.3348	0.90903	0.090971	0.18194	0.35464	True
HGLibA_43913_r1	SH3BGR	58061	53358	58061	53358	-0.12187	1.1061e+07	1.2438e+07	1.3336	0.091166	0.90883	0.18233	0.35509	False
HGLibA_56682_r0	ZNF76	50887	55143	50887	55143	0.1159	9.0603e+06	1.0224e+07	1.3313	0.90846	0.091545	0.18309	0.35626	True
HGLibA_62424_r0	hsa-mir-581	1.4575e+05	1.5505e+05	1.4575e+05	1.5505e+05	0.089264	4.3269e+07	4.8882e+07	1.3306	0.90833	0.091668	0.18334	0.35642	True
HGLibA_49866_r1	TMEM108	92258	98870	92258	98870	0.099867	2.1863e+07	2.4762e+07	1.3289	0.90805	0.091947	0.18389	0.3572	True
HGLibA_34590_r1	ORAI1	1.7886e+05	1.8967e+05	1.7886e+05	1.8967e+05	0.084688	5.8467e+07	6.6283e+07	1.3282	0.90795	0.092052	0.1841	0.35729	True
HGLibB_19217_r0	GLE1	5838.7	4988.8	5838.7	4988.8	-0.22691	3.6116e+05	4.1088e+05	1.3259	0.092439	0.90756	0.18488	0.35797	False
HGLibA_08231_r0	CD109	21395	19169	21395	19169	-0.15854	2.4792e+06	2.8218e+06	1.3256	0.092489	0.90751	0.18498	0.35797	False
HGLibA_22044_r2	HPRT1	37209	40568	37209	40568	0.12468	5.6406e+06	6.4204e+06	1.3256	0.90751	0.092494	0.18499	0.35797	True
HGLibB_54643_r0	YPEL2	14865	13166	14865	13166	-0.17507	1.4429e+06	1.6432e+06	1.3252	0.092548	0.90745	0.1851	0.35797	False
HGLibA_64102_r2	hsa-mir-8066	65243	70334	65243	70334	0.1084	1.296e+07	1.4793e+07	1.3237	0.9072	0.092803	0.18561	0.35864	True
HGLibB_47005_r1	SRSF10	34114	30972	34114	30972	-0.13939	4.9355e+06	5.6431e+06	1.3226	0.092987	0.90701	0.18597	0.35884	False
HGLibA_63731_r2	hsa-mir-6887	19934	22042	19934	22042	0.145	2.2212e+06	2.5403e+06	1.3224	0.90698	0.093015	0.18603	0.35884	True
HGLibB_42652_r0	SAMHD1	15157	13438	15157	13438	-0.17361	1.4767e+06	1.6913e+06	1.3214	0.093177	0.90682	0.18635	0.35915	False
HGLibB_46880_r1	SRCRB4D	1.3194e+05	1.2338e+05	1.3194e+05	1.2338e+05	-0.096775	3.6638e+07	4.2155e+07	1.3184	0.093681	0.90632	0.18736	0.3606	False
HGLibB_27512_r0	LSM7	23799	21403	23799	21403	-0.15308	2.8705e+06	3.3052e+06	1.3179	0.093763	0.90624	0.18753	0.3606	False
HGLibA_24942_r1	KIF4A	48501	52567	48501	52567	0.11613	8.2652e+06	9.5196e+06	1.3177	0.90621	0.093794	0.18759	0.3606	True
HGLibB_15935_r2	FAHD2A	48964	53053	48964	53053	0.11571	8.3594e+06	9.655e+06	1.3159	0.9059	0.094101	0.1882	0.36147	True
HGLibB_22014_r1	HPRT1	74691	69097	74691	69097	-0.11232	1.5648e+07	1.8088e+07	1.3154	0.09419	0.90581	0.18838	0.3615	False
HGLibB_57858_r1	NonTargetingControlGuideForHuman_0830	54244	49841	54244	49841	-0.12215	9.696e+06	1.1243e+07	1.3133	0.094534	0.90547	0.18907	0.3625	False
HGLibA_11403_r0	CSNK2A1	26386	23812	26386	23812	-0.14808	3.3127e+06	3.8526e+06	1.3114	0.094867	0.90513	0.18973	0.36341	False
HGLibA_51064_r2	TP53I13	1.027e+05	1.0976e+05	1.027e+05	1.0976e+05	0.095982	2.4956e+07	2.9042e+07	1.311	0.90507	0.094933	0.18987	0.36341	True
HGLibA_15503_r0	ERMARD	79784	73933	79784	73933	-0.10988	1.7118e+07	1.9952e+07	1.3099	0.095107	0.90489	0.19021	0.36351	False
HGLibA_39971_r2	RAB6A	88003	94295	88003	94295	0.099636	1.9798e+07	2.3083e+07	1.3097	0.90485	0.095147	0.19029	0.36351	True
HGLibB_30413_r0	MTOR	20981	23149	20981	23149	0.14185	2.3496e+06	2.741e+06	1.3094	0.90479	0.095205	0.19041	0.36351	True
HGLibA_62427_r2	hsa-mir-582	53819	58181	53819	58181	0.11242	9.5122e+06	1.1112e+07	1.3085	0.90464	0.095358	0.19072	0.36378	True
HGLibA_34588_r0	ORAI1	75720	70104	75720	70104	-0.11118	1.577e+07	1.846e+07	1.3071	0.095583	0.90442	0.19117	0.36378	False
HGLibB_57179_r0	NonTargetingControlGuideForHuman_0151	97152	90393	97152	90393	-0.10403	2.2842e+07	2.6741e+07	1.3071	0.095597	0.9044	0.19119	0.36378	False
HGLibA_27620_r2	LUC7L	30302	33145	30302	33145	0.12938	4.0419e+06	4.7321e+06	1.307	0.9044	0.095602	0.1912	0.36378	True
HGLibA_62383_r1	hsa-mir-573	60056	64777	60056	64777	0.10917	1.1144e+07	1.3079e+07	1.3054	0.90412	0.09588	0.19176	0.36401	True
HGLibA_49729_r2	TM9SF4	15006	16690	15006	16690	0.15348	1.4188e+06	1.6664e+06	1.3049	0.90404	0.095955	0.19191	0.36401	True
